Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total  ,Percent citizen (18+),Margin of error1,Total  ,Percent registered (18+),Margin of error1,Total  ,Percent voted (18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,466","1,409",96.1,1.0,"1,097",74.8,2.2,981,66.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,11,7,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,33,16,(B),(B),8,(B),(B),8,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
VERMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,482,469,97.2,0.7,354,73.5,1.9,316,65.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,233,228,97.5,1.0,168,72.1,2.7,147,63.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,249,241,96.9,1.0,186,74.7,2.6,168,67.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,463,454,98.0,0.6,344,74.4,1.9,308,66.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,460,450,98.0,0.6,342,74.4,1.9,306,66.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,2,1,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,7,3,(B),(B),2,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),3,3,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,471,461,98.1,0.6,350,74.4,1.9,312,66.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,467,458,98.0,0.6,348,74.4,1.9,310,66.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,2,1,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,8,4,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"5,364","4,971",92.7,1.2,"3,441",64.1,2.1,"3,134",58.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,538","2,325",91.6,1.8,"1,584",62.4,3.1,"1,444",56.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,826","2,646",93.7,1.5,"1,856",65.7,2.9,"1,690",59.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"4,101","3,863",94.2,1.2,"2,798",68.2,2.4,"2,586",63.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,814","3,741",98.1,0.7,"2,731",71.6,2.4,"2,525",66.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,961,915,95.2,2.7,551,57.4,6.3,477,49.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,251,149,59.5,12.7,58,23.0,10.9,43,17.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),301,135,45.0,14.6,78,26.0,12.9,70,23.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"4,129","3,890",94.2,1.2,"2,819",68.3,2.3,"2,604",63.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,836","3,764",98.1,0.7,"2,749",71.7,2.4,"2,543",66.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,972,926,95.2,2.7,560,57.6,6.2,481,49.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,255,153,60.0,12.6,61,24.1,11.0,45,17.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,596","4,220",91.8,1.2,"3,133",68.2,2.0,"2,851",62.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,214","2,031",91.7,1.7,"1,488",67.2,3.0,"1,343",60.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,382","2,190",91.9,1.7,"1,645",69.0,2.8,"1,508",63.3,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,792","3,584",94.5,1.1,"2,722",71.8,2.2,"2,497",65.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,584","3,483",97.2,0.8,"2,674",74.6,2.2,"2,461",68.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,141,141,100.0,-,80,56.7,15.0,67,47.6,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,404,257,63.7,9.0,159,39.4,9.1,147,36.3,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),248,120,48.4,14.8,56,22.4,12.4,44,17.6,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,941","3,728",94.6,1.1,"2,842",72.1,2.1,"2,592",65.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,720","3,619",97.3,0.8,"2,791",75.0,2.1,"2,553",68.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,175,167,95.3,5.7,99,56.8,13.5,83,47.5,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,443,297,66.9,8.4,191,43.2,8.8,169,38.1,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,395","1,394",99.9,0.1,935,67.0,2.1,798,57.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,676,676,100.0,-,434,64.2,3.0,367,54.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,720,718,99.8,0.2,502,69.7,2.8,431,59.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,331","1,330",99.9,0.1,897,67.4,2.1,765,57.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,326","1,325",99.9,0.1,896,67.5,2.1,764,57.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,42,42,(B),(B),23,(B),(B),20,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,5,5,(B),(B),3,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),5,5,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,345","1,344",99.9,0.1,907,67.5,2.1,775,57.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,340","1,339",99.9,0.1,906,67.6,2.1,774,57.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,46,46,(B),(B),26,(B),(B),22,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,5,5,(B),(B),3,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,126","3,928",95.2,0.8,"3,225",78.2,1.6,"3,010",73.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,017","1,918",95.1,1.2,"1,551",76.9,2.4,"1,449",71.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,109","2,010",95.3,1.2,"1,675",79.4,2.3,"1,561",74.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,793","3,640",96.0,0.8,"3,019",79.6,1.7,"2,816",74.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,601","3,546",98.5,0.5,"2,952",82.0,1.6,"2,754",76.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,195,191,98.3,2.9,141,72.6,9.9,133,68.1,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,85,46,(B),(B),24,(B),(B),24,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),203,99,48.7,14.1,72,35.5,13.5,67,33.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,825","3,669",95.9,0.8,"3,042",79.5,1.7,"2,838",74.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,628","3,574",98.5,0.5,"2,973",81.9,1.6,"2,774",76.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,204,201,98.4,2.7,149,73.0,9.6,140,68.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,86,48,(B),(B),26,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
WYOMING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,373,370,99.1,0.4,265,71.0,2.1,247,66.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,187,185,98.8,0.7,129,69.2,3.0,122,65.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,186,185,99.4,0.5,135,72.8,2.9,126,67.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,358,356,99.4,0.4,258,72.0,2.1,241,67.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,339,339,99.9,0.1,247,72.9,2.2,231,68.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,3,2,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,2,2,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),20,17,(B),(B),11,(B),(B),10,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,364,362,99.4,0.4,261,71.7,2.1,244,67.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,345,345,99.9,0.1,250,72.4,2.1,234,67.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,3,2,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,3,3,(B),(B),1,(B),(B),1,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The symbol (B) means that the base is too small to show the derived measure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: "" - "" Represents zero or rounds to zero.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet Release date: May 25, 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
