index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
266,FEMALE,6723,4066,2639,266,FEMALE,6888,4315,3281,266,FEMALE,7389,4476,2487,266,FEMALE,7454,4740,3700,266,FEMALE,7783,4606,2797,266,FEMALE,8146,5133,4266,266,FEMALE,8474,5156,2957,266,FEMALE,8861,5430,4573,266,FEMALE,9105,5054,2969,266,FEMALE,9596,5772,4719,266,FEMALE,9941,5340,3236,266,FEMALE,10397,6245,5162,266,FEMALE,10790,6273,4822,266,FEMALE,10972,7005,6295
267,WHITE,11288,6761,4447,267,WHITE,11545,7234,5392,267,HISPANIC ORIGIN,4057,1609,623,267,WHITE,12572,7771,6042,267,WHITE,12518,7224,4385,267,WHITE,13246,8148,6706,267,WHITE,13745,8205,4711,267,WHITE,14432,8423,6978,267,WHITE,14741,7858,4631,267,WHITE,15029,8643,6900,267,WHITE,15676,8124,4820,267,WHITE,16095,9306,7700,267,WHITE,16689,9331,7158,267,WHITE,17042,10734,9612
268,BLACK,1285,752,426,268,BLACK,1446,914,681,268,WHITE,12019,7176,4020,268,BLACK,1397,971,803,268,BLACK,1748,1139,774,268,BLACK,1669,1141,931,268,BLACK,1854,1158,655,268,BLACK,1933,1356,1194,268,BLACK,2060,1242,770,268,BLACK,2213,1569,1352,268,BLACK,2327,1334,777,268,BLACK,2458,1724,1349,268,BLACK,2625,1580,1203,268,BLACK,2700,1759,1521
269,HISPANIC ORIGIN,3909,1553,740,269,HISPANIC ORIGIN,3804,1623,1060,269,BLACK,1614,1003,572,269,HISPANIC ORIGIN,4414,1905,1300,269,HISPANIC ORIGIN,5149,2014,982,269,HISPANIC ORIGIN,5232,2170,1533,269,HISPANIC ORIGIN,5407,2160,945,269,HISPANIC ORIGIN,6241,2441,1697,269,HISPANIC ORIGIN,6403,2334,1012,269,HISPANIC ORIGIN,6831,2652,1890,269,HISPANIC ORIGIN,6762,2255,1092,269,HISPANIC ORIGIN,6923,2654,1938,269,HISPANIC ORIGIN,7658,2843,1918,269,HISPANIC ORIGIN,7730,3538,2972
270,UTAH TOTAL,1231,733,544,270,UTAH TOTAL,1334,861,707,270,UTAH TOTAL,1408,788,562,270,UTAH TOTAL,1472,953,829,270,UTAH TOTAL,1522,928,631,270,UTAH TOTAL,1629,1141,1022,270,UTAH TOTAL,1753,932,603,270,UTAH TOTAL,1859,1056,939,270,UTAH TOTAL,1929,1095,695,270,UTAH TOTAL,1917,1138,1022,270,UTAH TOTAL,2026,1101,703,270,UTAH TOTAL,2096,1398,1234,270,UTAH TOTAL,2247,1443,1214,270,UTAH TOTAL,2320,1468,1386
271,MALE,605,348,260,271,MALE,651,396,329,271,MALE,671,373,266,271,MALE,724,453,386,271,MALE,755,439,295,271,MALE,811,547,494,271,MALE,866,446,294,271,MALE,938,495,431,271,MALE,958,514,338,271,MALE,940,543,494,271,MALE,1011,539,339,271,MALE,1043,700,613,271,MALE,1109,691,568,271,MALE,1146,699,647
272,FEMALE,625,385,285,272,FEMALE,683,465,378,272,FEMALE,738,415,296,272,FEMALE,748,500,443,272,FEMALE,767,489,337,272,FEMALE,818,594,529,272,FEMALE,888,485,309,272,FEMALE,921,561,509,272,FEMALE,971,581,357,272,FEMALE,977,595,528,272,FEMALE,1016,562,364,272,FEMALE,1053,698,621,272,FEMALE,1138,752,646,272,FEMALE,1174,769,739
273,WHITE,1180,721,537,273,WHITE,1295,847,698,273,HISPANIC ORIGIN,86,25,17,273,WHITE,1414,934,815,273,WHITE,1446,901,618,273,WHITE,1561,1120,1003,273,WHITE,1637,910,588,273,WHITE,1761,1017,909,273,WHITE,1811,1064,676,273,WHITE,1780,1089,989,273,WHITE,1919,1064,678,273,WHITE,1955,1339,1181,273,WHITE,2080,1385,1171,273,WHITE,2096,1368,1293
274,BLACK,18,7,4,274,BLACK,8,2,2,274,WHITE,1365,778,558,274,BLACK,4,4,4,274,BLACK,16,7,7,274,BLACK,10,5,5,274,BLACK,15,2,2,274,BLACK,26,12,12,274,BLACK,19,6,2,274,BLACK,23,9,9,274,BLACK,26,6,6,274,BLACK,20,8,7,274,BLACK,31,8,5,274,BLACK,40,9,9
275,HISPANIC ORIGIN,79,14,8,275,HISPANIC ORIGIN,87,33,25,275,BLACK,5,2,0,275,HISPANIC ORIGIN,104,24,20,275,HISPANIC ORIGIN,124,31,11,275,HISPANIC ORIGIN,104,28,27,275,HISPANIC ORIGIN,168,36,27,275,HISPANIC ORIGIN,138,24,21,275,HISPANIC ORIGIN,151,21,13,275,HISPANIC ORIGIN,233,61,49,275,HISPANIC ORIGIN,222,56,28,275,HISPANIC ORIGIN,245,94,86,275,HISPANIC ORIGIN,291,96,82,275,HISPANIC ORIGIN,253,100,89
276,VERMONT TOTAL,432,307,212,276,VERMONT TOTAL,434,313,258,276,VERMONT TOTAL,444,316,229,276,VERMONT TOTAL,458,330,290,276,VERMONT TOTAL,490,341,256,276,VERMONT TOTAL,482,354,316,276,VERMONT TOTAL,491,345,273,276,VERMONT TOTAL,487,345,308,276,VERMONT TOTAL,490,356,265,276,VERMONT TOTAL,496,357,308,276,VERMONT TOTAL,493,324,205,276,VERMONT TOTAL,500,351,305,276,VERMONT TOTAL,503,343,273,276,VERMONT TOTAL,507,365,342
277,MALE,211,143,97,277,MALE,215,149,120,277,MALE,219,153,110,277,MALE,221,152,131,277,MALE,234,155,116,277,MALE,233,168,147,277,MALE,240,160,130,277,MALE,238,164,146,277,MALE,238,169,126,277,MALE,241,168,146,277,MALE,240,152,93,277,MALE,246,166,144,277,MALE,247,168,132,277,MALE,250,178,163
278,FEMALE,221,163,114,278,FEMALE,220,164,139,278,FEMALE,225,163,119,278,FEMALE,238,178,159,278,FEMALE,255,186,140,278,FEMALE,249,186,168,278,FEMALE,252,185,143,278,FEMALE,249,181,162,278,FEMALE,252,187,138,278,FEMALE,255,189,162,278,FEMALE,253,172,112,278,FEMALE,254,185,161,278,FEMALE,257,175,141,278,FEMALE,257,187,178
279,WHITE,426,304,210,279,WHITE,429,310,256,279,HISPANIC ORIGIN,2,1,1,279,WHITE,454,329,290,279,WHITE,482,337,252,279,WHITE,463,344,308,279,WHITE,473,334,267,279,WHITE,471,335,300,279,WHITE,473,346,259,279,WHITE,470,341,293,279,WHITE,475,318,202,279,WHITE,468,339,293,279,WHITE,478,330,263,279,WHITE,477,354,332
280,BLACK,1,0,0,280,BLACK,1,1,1,280,WHITE,436,313,227,280,BLACK,1,,,280,BLACK,2,2,1,280,BLACK,2,,,280,BLACK,3,2,,280,BLACK,4,3,3,280,BLACK,4,2,1,280,BLACK,5,3,3,280,BLACK,4,2,,280,BLACK,5,2,1,280,BLACK,4,2,1,280,BLACK,8,1,1
281,HISPANIC ORIGIN,2,2,1,281,HISPANIC ORIGIN,3,3,3,281,BLACK,0,0,0,281,HISPANIC ORIGIN,3,2,2,281,HISPANIC ORIGIN,2,2,1,281,HISPANIC ORIGIN,3,2,2,281,HISPANIC ORIGIN,5,2,2,281,HISPANIC ORIGIN,5,2,2,281,HISPANIC ORIGIN,4,1,1,281,HISPANIC ORIGIN,6,3,3,281,HISPANIC ORIGIN,4,2,2,281,HISPANIC ORIGIN,5,3,3,281,HISPANIC ORIGIN,8,7,6,281,HISPANIC ORIGIN,6,4,4
282,VIRGINIA TOTAL,4760,2888,2204,282,VIRGINIA TOTAL,4955,3294,2796,282,VIRGINIA TOTAL,4969,2996,1496,282,VIRGINIA TOTAL,5177,3317,2962,282,VIRGINIA TOTAL,5194,3063,1808,282,VIRGINIA TOTAL,5364,3441,3134,282,VIRGINIA TOTAL,5578,3402,2431,282,VIRGINIA TOTAL,5720,3950,3650,282,VIRGINIA TOTAL,5873,3546,2257,282,VIRGINIA TOTAL,6094,4210,3778,282,VIRGINIA TOTAL,6221,3924,2453,282,VIRGINIA TOTAL,6343,4399,3973,282,VIRGINIA TOTAL,6386,4159,3319,282,VIRGINIA TOTAL,6481,4541,4275
283,MALE,2235,1327,1032,283,MALE,2303,1470,1240,283,MALE,2345,1339,719,283,MALE,2431,1512,1344,283,MALE,2489,1424,905,283,MALE,2538,1584,1444,283,MALE,2623,1555,1144,283,MALE,2725,1789,1641,283,MALE,2812,1637,1047,283,MALE,2890,1931,1709,283,MALE,2975,1892,1200,283,MALE,3026,2023,1806,283,MALE,3051,1958,1578,283,MALE,3084,2092,1981
284,FEMALE,2526,1561,1173,284,FEMALE,2652,1823,1556,284,FEMALE,2624,1657,777,284,FEMALE,2745,1805,1619,284,FEMALE,2705,1639,902,284,FEMALE,2826,1856,1690,284,FEMALE,2955,1847,1287,284,FEMALE,2995,2162,2010,284,FEMALE,3061,1909,1210,284,FEMALE,3204,2279,2069,284,FEMALE,3246,2032,1253,284,FEMALE,3317,2376,2168,284,FEMALE,3335,2201,1742,284,FEMALE,3396,2449,2293
285,WHITE,3628,2329,1828,285,WHITE,3768,2576,2206,285,HISPANIC ORIGIN,107,18,0,285,WHITE,3930,2658,2375,285,WHITE,3799,2435,1437,285,WHITE,4101,2798,2586,285,WHITE,4228,2768,2017,285,WHITE,4288,3008,2778,285,WHITE,4266,2775,1780,285,WHITE,4496,3222,2872,285,WHITE,4480,2939,1924,285,WHITE,4459,3218,2891,285,WHITE,4496,3065,2412,285,WHITE,4526,3393,3204
286,BLACK,989,505,334,286,BLACK,1029,659,548,286,WHITE,3765,2389,1219,286,BLACK,1010,586,532,286,BLACK,1060,503,288,286,BLACK,961,551,477,286,BLACK,1026,534,355,286,BLACK,1031,727,686,286,BLACK,1104,536,370,286,BLACK,1133,772,715,286,BLACK,1188,712,394,286,BLACK,1189,817,738,286,BLACK,1198,754,637,286,BLACK,1237,764,722
287,HISPANIC ORIGIN,117,46,28,287,HISPANIC ORIGIN,124,34,31,287,BLACK,1054,565,251,287,HISPANIC ORIGIN,234,106,90,287,HISPANIC ORIGIN,207,32,14,287,HISPANIC ORIGIN,301,78,70,287,HISPANIC ORIGIN,349,51,33,287,HISPANIC ORIGIN,330,74,74,287,HISPANIC ORIGIN,369,88,48,287,HISPANIC ORIGIN,375,114,103,287,HISPANIC ORIGIN,389,112,60,287,HISPANIC ORIGIN,606,240,219,287,HISPANIC ORIGIN,669,159,112,287,HISPANIC ORIGIN,678,271,218
288,WASHINGTON TOTAL,3924,2636,1826,288,WASHINGTON TOTAL,4059,2840,2436,288,WASHINGTON TOTAL,4179,2622,1905,288,WASHINGTON TOTAL,4314,2852,2527,288,WASHINGTON TOTAL,4456,2901,2097,288,WASHINGTON TOTAL,4596,3133,2851,288,WASHINGTON TOTAL,4745,3090,2346,288,WASHINGTON TOTAL,4912,3299,3073,288,WASHINGTON TOTAL,5095,3367,2692,288,WASHINGTON TOTAL,5230,3533,3172,288,WASHINGTON TOTAL,5333,3281,2390,288,WASHINGTON TOTAL,5592,3906,3382,288,WASHINGTON TOTAL,5775,3852,3234,288,WASHINGTON TOTAL,5993,4029,3854
289,MALE,1904,1260,868,289,MALE,2001,1365,1157,289,MALE,2076,1236,897,289,MALE,2053,1361,1196,289,MALE,2184,1368,997,289,MALE,2214,1488,1343,289,MALE,2313,1476,1103,289,MALE,2418,1553,1439,289,MALE,2501,1604,1289,289,MALE,2546,1658,1491,289,MALE,2616,1543,1125,289,MALE,2765,1852,1525,289,MALE,2869,1861,1541,289,MALE,2947,1921,1806
290,FEMALE,2021,1376,958,290,FEMALE,2058,1475,1279,290,FEMALE,2102,1386,1008,290,FEMALE,2261,1491,1331,290,FEMALE,2272,1533,1099,290,FEMALE,2382,1645,1508,290,FEMALE,2432,1614,1243,290,FEMALE,2495,1745,1634,290,FEMALE,2595,1763,1403,290,FEMALE,2684,1875,1682,290,FEMALE,2717,1739,1265,290,FEMALE,2827,2055,1857,290,FEMALE,2906,1991,1693,290,FEMALE,3046,2109,2047
291,WHITE,3605,2499,1755,291,WHITE,3779,2686,2306,291,HISPANIC ORIGIN,182,64,31,291,WHITE,3890,2656,2400,291,WHITE,3926,2709,1974,291,WHITE,3792,2722,2497,291,WHITE,3964,2749,2132,291,WHITE,4146,2932,2762,291,WHITE,4366,3028,2479,291,WHITE,4301,2987,2696,291,WHITE,4238,2819,2088,291,WHITE,4628,3403,3027,291,WHITE,4663,3219,2736,291,WHITE,4735,3452,3309
292,BLACK,100,62,25,292,BLACK,52,38,38,292,WHITE,3766,2456,1810,292,BLACK,123,62,39,292,BLACK,111,71,48,292,BLACK,141,80,67,292,BLACK,142,43,25,292,BLACK,157,57,57,292,BLACK,157,60,47,292,BLACK,162,103,72,292,BLACK,195,74,53,292,BLACK,201,116,78,292,BLACK,232,155,103,292,BLACK,257,136,130
293,HISPANIC ORIGIN,71,21,19,293,HISPANIC ORIGIN,167,54,50,293,BLACK,81,40,16,293,HISPANIC ORIGIN,167,71,59,293,HISPANIC ORIGIN,244,63,34,293,HISPANIC ORIGIN,248,56,44,293,HISPANIC ORIGIN,295,97,63,293,HISPANIC ORIGIN,404,160,148,293,HISPANIC ORIGIN,461,110,77,293,HISPANIC ORIGIN,460,172,139,293,HISPANIC ORIGIN,635,169,95,293,HISPANIC ORIGIN,656,292,219,293,HISPANIC ORIGIN,736,267,204,293,HISPANIC ORIGIN,680,296,261
294,WEST VIRGINIA TOTAL,1396,852,475,294,WEST VIRGINIA TOTAL,1423,921,715,294,WEST VIRGINIA TOTAL,1401,880,503,294,WEST VIRGINIA TOTAL,1405,886,732,294,WEST VIRGINIA TOTAL,1379,827,507,294,WEST VIRGINIA TOTAL,1395,935,798,294,WEST_VIRGINIA TOTAL,1394,873,513,294,WEST_VIRGINIA TOTAL,1395,917,741,294,WEST VIRGINIA TOTAL,1420,883,581,294,WEST VIRGINIA TOTAL,1452,982,690,294,WEST VIRGINIA TOTAL,1449,896,484,294,WEST VIRGINIA TOTAL,1434,913,723,294,WEST VIRGINIA TOTAL,1406,892,610,294,WEST VIRGINIA TOTAL,1397,928,773
295,MALE,675,409,235,295,MALE,658,413,321,295,MALE,655,392,228,295,MALE,654,412,341,295,MALE,654,391,249,295,MALE,676,434,367,295,MALE,669,404,245,295,MALE,673,438,350,295,MALE,686,406,266,295,MALE,705,474,332,295,MALE,705,431,236,295,MALE,695,428,335,295,MALE,685,423,294,295,MALE,684,457,379
296,FEMALE,721,443,240,296,FEMALE,765,508,393,296,FEMALE,745,488,274,296,FEMALE,750,475,390,296,FEMALE,724,437,257,296,FEMALE,720,502,431,296,FEMALE,726,469,268,296,FEMALE,722,479,392,296,FEMALE,734,477,315,296,FEMALE,747,508,358,296,FEMALE,744,465,248,296,FEMALE,739,485,388,296,FEMALE,721,470,316,296,FEMALE,714,471,395
297,WHITE,1329,820,460,297,WHITE,1368,900,706,297,HISPANIC ORIGIN,5,1,1,297,WHITE,1355,857,709,297,WHITE,1334,810,495,297,WHITE,1331,897,765,297,WHITE,1329,843,494,297,WHITE,1345,890,720,297,WHITE,1360,857,561,297,WHITE,1391,948,665,297,WHITE,1376,863,473,297,WHITE,1350,865,682,297,WHITE,1312,856,585,297,WHITE,1324,879,735
298,BLACK,57,29,13,298,BLACK,41,19,8,298,WHITE,1369,859,491,298,BLACK,45,29,22,298,BLACK,34,15,10,298,BLACK,42,23,20,298,BLACK,44,18,11,298,BLACK,39,21,19,298,BLACK,48,22,18,298,BLACK,40,23,19,298,BLACK,41,17,5,298,BLACK,48,27,24,298,BLACK,49,19,12,298,BLACK,45,26,18
299,HISPANIC ORIGIN,4,0,0,299,HISPANIC ORIGIN,3,1,1,299,BLACK,22,11,8,299,HISPANIC ORIGIN,7,1,1,299,HISPANIC ORIGIN,8,5,3,299,HISPANIC ORIGIN,5,1,1,299,HISPANIC ORIGIN,3,2,,299,HISPANIC ORIGIN,9,5,5,299,HISPANIC ORIGIN,5,2,2,299,HISPANIC ORIGIN,14,8,4,299,HISPANIC ORIGIN,18,11,3,299,HISPANIC ORIGIN,13,4,3,299,HISPANIC ORIGIN,24,10,4,299,HISPANIC ORIGIN,23,10,8
300,WISCONSIN TOTAL,3638,2813,1808,300,WISCONSIN TOTAL,3736,2900,2330,300,WISCONSIN TOTAL,3790,2602,1905,300,WISCONSIN TOTAL,3884,2970,2632,300,WISCONSIN TOTAL,4119,2744,1999,300,WISCONSIN TOTAL,4126,3225,3010,300,WISCONSIN TOTAL,4202,2948,2352,300,WISCONSIN TOTAL,4212,3095,2887,300,WISCONSIN TOTAL,4291,2908,2258,300,WISCONSIN TOTAL,4352,3318,3127,300,WISCONSIN TOTAL,4356,3005,2343,300,WISCONSIN TOTAL,4465,3323,3068,300,WISCONSIN TOTAL,4436,3129,2776,300,WISCONSIN TOTAL,4538,3391,3253
301,MALE,1815,1362,895,301,MALE,1877,1428,1130,301,MALE,1840,1225,912,301,MALE,1912,1420,1266,301,MALE,2073,1360,1005,301,MALE,2017,1551,1449,301,MALE,2041,1377,1102,301,MALE,2084,1501,1403,301,MALE,2105,1360,1059,301,MALE,2115,1554,1460,301,MALE,2136,1433,1140,301,MALE,2193,1584,1468,301,MALE,2186,1519,1328,301,MALE,2223,1616,1533
302,FEMALE,1824,1450,912,302,FEMALE,1859,1471,1200,302,FEMALE,1950,1377,994,302,FEMALE,1972,1551,1367,302,FEMALE,2045,1383,994,302,FEMALE,2109,1675,1561,302,FEMALE,2161,1571,1250,302,FEMALE,2128,1594,1484,302,FEMALE,2185,1549,1199,302,FEMALE,2236,1764,1667,302,FEMALE,2220,1572,1203,302,FEMALE,2272,1739,1600,302,FEMALE,2250,1610,1448,302,FEMALE,2315,1775,1720
303,WHITE,3458,2713,1755,303,WHITE,3493,2772,2242,303,HISPANIC ORIGIN,25,14,7,303,WHITE,3653,2815,2496,303,WHITE,3801,2605,1905,303,WHITE,3793,3019,2816,303,WHITE,3845,2748,2201,303,WHITE,3881,2881,2682,303,WHITE,3956,2723,2113,303,WHITE,3920,3030,2854,303,WHITE,3933,2791,2213,303,WHITE,4079,3130,2897,303,WHITE,3948,2883,2574,303,WHITE,4005,3119,3008
304,BLACK,125,69,39,304,BLACK,137,97,76,304,WHITE,3489,2457,1833,304,BLACK,147,105,91,304,BLACK,184,101,70,304,BLACK,195,141,133,304,BLACK,203,120,89,304,BLACK,199,145,145,304,BLACK,204,113,89,304,BLACK,242,184,178,304,BLACK,230,129,93,304,BLACK,205,101,92,304,BLACK,264,137,110,304,BLACK,263,126,114
305,HISPANIC ORIGIN,43,7,3,305,HISPANIC ORIGIN,98,33,24,305,BLACK,187,104,66,305,HISPANIC ORIGIN,159,34,31,305,HISPANIC ORIGIN,201,51,20,305,HISPANIC ORIGIN,203,72,67,305,HISPANIC ORIGIN,173,58,36,305,HISPANIC ORIGIN,247,77,66,305,HISPANIC ORIGIN,181,53,38,305,HISPANIC ORIGIN,214,76,71,305,HISPANIC ORIGIN,248,77,53,305,HISPANIC ORIGIN,329,136,111,305,HISPANIC ORIGIN,232,91,84,305,HISPANIC ORIGIN,242,105,101
306,WYOMING TOTAL,333,230,212,306,WYOMING TOTAL,347,247,230,306,WYOMING TOTAL,346,227,188,306,WYOMING TOTAL,350,240,219,306,WYOMING TOTAL,370,240,198,306,WYOMING TOTAL,373,265,247,306,WYOMING TOTAL,388,253,199,306,WYOMING TOTAL,397,270,250,306,WYOMING TOTAL,411,239,190,306,WYOMING TOTAL,427,268,247,306,WYOMING TOTAL,441,241,172,306,WYOMING TOTAL,436,304,277,306,WYOMING TOTAL,430,268,220,306,WYOMING TOTAL,436,296,280
307,MALE,164,112,102,307,MALE,169,119,110,307,MALE,175,113,93,307,MALE,176,118,105,307,MALE,179,113,92,307,MALE,187,129,122,307,MALE,192,123,94,307,MALE,199,127,118,307,MALE,210,118,94,307,MALE,213,127,118,307,MALE,223,117,85,307,MALE,223,154,139,307,MALE,216,134,107,307,MALE,217,141,132
308,FEMALE,169,118,110,308,FEMALE,179,129,120,308,FEMALE,171,114,95,308,FEMALE,175,122,114,308,FEMALE,191,127,106,308,FEMALE,186,135,126,308,FEMALE,196,131,105,308,FEMALE,198,142,132,308,FEMALE,202,121,96,308,FEMALE,213,141,129,308,FEMALE,217,124,87,308,FEMALE,213,150,138,308,FEMALE,214,135,113,308,FEMALE,219,155,147
309,WHITE,325,225,208,309,WHITE,339,244,227,309,HISPANIC ORIGIN,13,6,5,309,WHITE,342,236,217,309,WHITE,356,234,195,309,WHITE,358,258,241,309,WHITE,372,247,195,309,WHITE,377,261,242,309,WHITE,389,230,182,309,WHITE,403,259,240,309,WHITE,407,227,164,309,WHITE,405,284,260,309,WHITE,408,259,214,309,WHITE,410,280,265
310,BLACK,3,2,2,310,BLACK,2,,,310,WHITE,332,221,183,310,BLACK,1,1,1,310,BLACK,3,,,310,BLACK,3,1,1,310,BLACK,3,2,,310,BLACK,5,1,1,310,BLACK,6,2,2,310,BLACK,3,1,1,310,BLACK,11,5,3,310,BLACK,5,4,3,310,BLACK,5,3,2,310,BLACK,2,1,1
311,HISPANIC ORIGIN,14,6,5,311,HISPANIC ORIGIN,16,7,6,311,BLACK,4,0,0,311,HISPANIC ORIGIN,19,9,6,311,HISPANIC ORIGIN,19,10,7,311,HISPANIC ORIGIN,20,11,10,311,HISPANIC ORIGIN,30,13,9,311,HISPANIC ORIGIN,18,8,7,311,HISPANIC ORIGIN,31,9,6,311,HISPANIC ORIGIN,32,10,8,311,HISPANIC ORIGIN,29,9,6,311,HISPANIC ORIGIN,32,15,12,311,HISPANIC ORIGIN,41,16,13,311,HISPANIC ORIGIN,40,23,21
